Date,Total_debt,Debt_GDP_percentage,Debt_per_capita
1995-07-31,283457.0,61.5,7121.0
1995-08-01,283457.0,61.5,7121.0
1995-08-02,283457.0,61.5,7121.0
1995-08-03,283457.0,61.5,7121.0
1995-08-04,283457.0,61.5,7121.0
1995-08-05,283457.0,61.5,7121.0
1995-08-06,283457.0,61.5,7121.0
1995-08-07,283457.0,61.5,7121.0
1995-08-08,283457.0,61.5,7121.0
1995-08-09,283457.0,61.5,7121.0
1995-08-10,283457.0,61.5,7121.0
1995-08-11,283457.0,61.5,7121.0
1995-08-12,283457.0,61.5,7121.0
1995-08-13,283457.0,61.5,7121.0
1995-08-14,283457.0,61.5,7121.0
1995-08-15,283457.0,61.5,7121.0
1995-08-16,283457.0,61.5,7121.0
1995-08-17,283457.0,61.5,7121.0
1995-08-18,283457.0,61.5,7121.0
1995-08-19,283457.0,61.5,7121.0
1995-08-20,283457.0,61.5,7121.0
1995-08-21,283457.0,61.5,7121.0
1995-08-22,283457.0,61.5,7121.0
1995-08-23,283457.0,61.5,7121.0
1995-08-24,283457.0,61.5,7121.0
1995-08-25,283457.0,61.5,7121.0
1995-08-26,283457.0,61.5,7121.0
1995-08-27,283457.0,61.5,7121.0
1995-08-28,283457.0,61.5,7121.0
1995-08-29,283457.0,61.5,7121.0
1995-08-30,283457.0,61.5,7121.0
1995-08-31,283457.0,61.5,7121.0
1995-09-01,283457.0,61.5,7121.0
1995-09-02,283457.0,61.5,7121.0
1995-09-03,283457.0,61.5,7121.0
1995-09-04,283457.0,61.5,7121.0
1995-09-05,283457.0,61.5,7121.0
1995-09-06,283457.0,61.5,7121.0
1995-09-07,283457.0,61.5,7121.0
1995-09-08,283457.0,61.5,7121.0
1995-09-09,283457.0,61.5,7121.0
1995-09-10,283457.0,61.5,7121.0
1995-09-11,283457.0,61.5,7121.0
1995-09-12,283457.0,61.5,7121.0
1995-09-13,283457.0,61.5,7121.0
1995-09-14,283457.0,61.5,7121.0
1995-09-15,283457.0,61.5,7121.0
1995-09-16,283457.0,61.5,7121.0
1995-09-17,283457.0,61.5,7121.0
1995-09-18,283457.0,61.5,7121.0
1995-09-19,283457.0,61.5,7121.0
1995-09-20,283457.0,61.5,7121.0
1995-09-21,283457.0,61.5,7121.0
1995-09-22,283457.0,61.5,7121.0
1995-09-23,283457.0,61.5,7121.0
1995-09-24,283457.0,61.5,7121.0
1995-09-25,283457.0,61.5,7121.0
1995-09-26,283457.0,61.5,7121.0
1995-09-27,283457.0,61.5,7121.0
1995-09-28,283457.0,61.5,7121.0
1995-09-29,283457.0,61.5,7121.0
1995-09-30,283457.0,61.5,7121.0
1995-10-01,283457.0,61.5,7121.0
1995-10-02,283457.0,61.5,7121.0
1995-10-03,283457.0,61.5,7121.0
1995-10-04,283457.0,61.5,7121.0
1995-10-05,283457.0,61.5,7121.0
1995-10-06,283457.0,61.5,7121.0
1995-10-07,283457.0,61.5,7121.0
1995-10-08,283457.0,61.5,7121.0
1995-10-09,283457.0,61.5,7121.0
1995-10-10,283457.0,61.5,7121.0
1995-10-11,283457.0,61.5,7121.0
1995-10-12,283457.0,61.5,7121.0
1995-10-13,283457.0,61.5,7121.0
1995-10-14,283457.0,61.5,7121.0
1995-10-15,283457.0,61.5,7121.0
1995-10-16,283457.0,61.5,7121.0
1995-10-17,283457.0,61.5,7121.0
