Date,EUR_Price,EUR_Open,EUR_High,EUR_Low
2018-12-21,1.1369,1.1447,1.1477,1.1353
2018-12-22,1.1369,1.1447,1.1477,1.1353
2018-12-23,1.1369,1.1447,1.1477,1.1353
2018-12-24,1.14,1.137,1.1439,1.135
2018-12-25,1.1362,1.14,1.1429,1.1361
2018-12-26,1.1353,1.1363,1.1423,1.1342
2018-12-27,1.143,1.1353,1.1457,1.1349
2018-12-28,1.1438,1.1429,1.1478,1.1424
2018-12-29,1.1438,1.1429,1.1478,1.1424
2018-12-30,1.1438,1.1429,1.1478,1.1424
2018-12-31,1.147,1.1443,1.147,1.1421
2019-01-01,1.1464,1.1466,1.1481,1.1425
2019-01-02,1.1343,1.1464,1.1499,1.1325
2019-01-03,1.1394,1.1345,1.1413,1.1309
2019-01-04,1.1395,1.1393,1.1422,1.1345
2019-01-05,1.1395,1.1393,1.1422,1.1345
2019-01-06,1.1395,1.1393,1.1422,1.1345
2019-01-07,1.1476,1.1392,1.1485,1.1392
2019-01-08,1.1442,1.1476,1.1487,1.1422
2019-01-09,1.1543,1.1444,1.1556,1.1435
2019-01-10,1.15,1.1542,1.1572,1.1485
2019-01-11,1.1469,1.1499,1.1542,1.1457
2019-01-12,1.1469,1.1499,1.1542,1.1457
2019-01-13,1.1469,1.1499,1.1542,1.1457
2019-01-14,1.1477,1.1471,1.1485,1.144
2019-01-15,1.1417,1.1473,1.1494,1.1381
2019-01-16,1.14,1.1414,1.1429,1.1377
2019-01-17,1.1398,1.1396,1.141,1.1369
2019-01-18,1.1363,1.1389,1.1413,1.1352
2019-01-19,1.1363,1.1389,1.1413,1.1352
2019-01-20,1.1363,1.1389,1.1413,1.1352
2019-01-21,1.1366,1.1371,1.1409,1.1355
2019-01-22,1.1359,1.1365,1.1386,1.1334
2019-01-23,1.1381,1.1358,1.1397,1.1348
2019-01-24,1.1306,1.138,1.1398,1.1287
2019-01-25,1.1415,1.1306,1.1421,1.1298
2019-01-26,1.1415,1.1306,1.1421,1.1298
2019-01-27,1.1415,1.1306,1.1421,1.1298
2019-01-28,1.1434,1.1404,1.1445,1.1388
2019-01-29,1.1432,1.1428,1.1453,1.141
2019-01-30,1.1479,1.1433,1.1503,1.1404
2019-01-31,1.1446,1.148,1.1517,1.1434
2019-02-01,1.1456,1.1447,1.149,1.1433
2019-02-02,1.1456,1.1447,1.149,1.1433
2019-02-03,1.1456,1.1447,1.149,1.1433
2019-02-04,1.1438,1.1457,1.1467,1.1421
2019-02-05,1.1415,1.1442,1.1456,1.14
2019-02-06,1.1362,1.1406,1.142,1.1359
2019-02-07,1.1341,1.136,1.1375,1.1322
2019-02-08,1.133,1.1346,1.1355,1.132
2019-02-09,1.133,1.1346,1.1355,1.132
2019-02-10,1.133,1.1346,1.1355,1.132
2019-02-11,1.1276,1.1328,1.1331,1.1264
2019-02-12,1.1325,1.128,1.1342,1.1256
2019-02-13,1.1267,1.1326,1.1346,1.126
2019-02-14,1.1301,1.1262,1.1313,1.1247
2019-02-15,1.1295,1.1295,1.1313,1.1233
2019-02-16,1.1295,1.1295,1.1313,1.1233
2019-02-17,1.1295,1.1295,1.1313,1.1233
