Date,IPC,Open,High,Low,Close,AdjClose,GDP_Value,Euribor,Price_EUR,Open_EUR,High_EUR,Low_EUR,Open_DJ,High_DJ,Low_DJ,Close_DJ,Total_debt,Percentage,Debt_per_capita,Defunciones,Births,Activos,Ocupados,Parados,Actividad(%),Paro(%)
2021-07-26,-0.75,8655.099609,8786.700195,8630.700195,8775.200195,8775.200195,2.3187,-0.4907,1.1799,1.1778,1.1818,1.1763,35055.86,35150.37,34950.19,35144.31,1428133.0,116.8,30074.0,1234,924.0,23447.7,20031.0,3416.7,59.14,14.57
2021-07-27,-0.75,8723.700195,8768.5,8651.700195,8699.200195,8699.200195,2.3187,-0.4907,1.1814,1.1804,1.1841,1.1769,35078.9,35078.9,34878.07,35058.52,1428133.0,116.8,30074.0,1234,924.0,23447.7,20031.0,3416.7,59.14,14.57
2021-07-28,-0.75,8716.900391,8774.599609,8691.799805,8733.700195,8733.700195,2.3187,-0.4907,1.1842,1.1817,1.1851,1.1773,35109.95,35116.37,34876.84,34930.93,1428133.0,116.8,30074.0,1234,924.0,23447.7,20031.0,3416.7,59.14,14.57
2021-07-29,-0.75,8765.099609,8840.700195,8753.799805,8786.299805,8786.299805,2.3187,-0.4907,1.1886,1.1845,1.1894,1.184,34985.99,35171.52,34985.99,35084.53,1428133.0,116.8,30074.0,1234,924.0,23447.7,20031.0,3416.7,59.14,14.57
2021-07-30,-0.75,8737.5,8753.5,8665.700195,8675.700195,8675.700195,2.3187,-0.4907,1.187,1.1888,1.191,1.1851,35013.26,35106.3,34871.13,34935.47,1428133.0,116.8,30074.0,1234,924.0,23447.7,20031.0,3416.7,59.14,14.57
2021-07-31,-0.75,8737.5,8753.5,8665.700195,8675.700195,8675.700195,2.3187,-0.4907,1.187,1.1888,1.191,1.1851,35013.26,35106.3,34871.13,34935.47,1428133.0,116.8,30074.0,1234,924.0,23447.7,20031.0,3416.7,59.14,14.57
2021-08-01,0.45,8737.5,8753.5,8665.700195,8675.700195,8675.700195,2.3187,-0.4982,1.187,1.1888,1.191,1.1851,35013.26,35106.3,34871.13,34935.47,1428133.0,116.8,30074.0,1234,924.0,23447.7,20031.0,3416.7,59.14,14.57
2021-08-02,0.45,8723.299805,8815.200195,8723.299805,8758.700195,8758.700195,2.3187,-0.4982,1.1867,1.1864,1.1897,1.1858,34968.56,35192.11,34808.2,34838.16,1428133.0,116.8,30074.0,1234,924.0,23447.7,20031.0,3416.7,59.14,14.57
2021-08-03,0.45,8780.200195,8824.200195,8735.599609,8772.799805,8772.799805,2.3187,-0.4982,1.186,1.1868,1.1894,1.1853,34864.1,35120.94,34714.33,35116.4,1428133.0,116.8,30074.0,1234,924.0,23447.7,20031.0,3416.7,59.14,14.57
2021-08-04,0.45,8806.599609,8806.599609,8735.400391,8792.900391,8792.900391,2.3187,-0.4982,1.1835,1.1864,1.1901,1.1832,35047.44,35047.44,34790.62,34792.67,1428133.0,116.8,30074.0,1234,924.0,23447.7,20031.0,3416.7,59.14,14.57
